x	y	w	h	class	class_name	time
1479	597	98	78	0	buba	29216
1078	471	91	68	0	buba	29216
108	459	138	431	4	ladder	29216
1131	406	90	73	0	buba	29216
1634	470	85	88	0	buba	29216
1518	533	101	89	0	buba	29340
151	423	133	410	4	ladder	29340
1176	371	90	68	0	buba	29340
1119	405	99	80	0	buba	29340
1148	149	86	89	0	buba	29340
1783	438	107	97	0	buba	29340
267	904	144	179	4	ladder	29340
195	372	133	428	4	ladder	29465
1536	471	109	91	0	buba	29465
303	870	142	214	4	ladder	29465
1191	136	98	85	0	buba	29465
1607	304	91	90	0	buba	29465
1727	269	152	119	3	chest	29465
366	818	130	261	4	ladder	29591
251	313	126	438	4	ladder	29591
1242	155	101	69	0	buba	29591
1558	419	111	92	0	buba	29591
1271	262	92	74	0	buba	29591
420	773	126	306	4	ladder	29729
300	270	132	427	4	ladder	29729
1602	412	103	86	0	buba	29729
1708	304	101	97	0	buba	29729
1818	292	100	96	0	buba	29729
337	225	133	438	4	ladder	29848
1630	362	96	86	0	buba	29848
459	722	121	365	4	ladder	29848
1735	263	114	95	0	buba	29848
1293	134	108	84	0	buba	29848
363	172	124	435	4	ladder	29980
481	666	122	403	4	ladder	29980
1628	298	107	80	0	buba	29980
767	1021	162	56	3	chest	29980
1353	30	86	64	0	buba	29980
1331	115	127	81	0	buba	29980
486	623	128	402	4	ladder	30100
370	133	130	417	4	ladder	30100
730	968	197	112	3	chest	30100
1618	243	104	87	0	buba	30100
1333	124	94	74	0	buba	30100
1383	56	100	87	0	buba	30100
481	573	123	389	4	ladder	30224
1596	233	96	85	0	buba	30224
365	66	125	438	4	ladder	30224
725	918	192	151	3	chest	30224
1320	67	104	78	0	buba	30224
524	1027	87	57	0	buba	30224
336	54	136	402	4	ladder	30348
1568	185	88	90	0	buba	30348
459	530	121	393	4	ladder	30348
413	984	94	77	0	buba	30348
712	878	173	144	3	chest	30348
506	988	74	83	0	buba	30348
698	1026	108	55	0	buba	30348
1293	31	102	71	0	buba	30348
406	487	121	407	4	ladder	30473
287	36	129	376	4	ladder	30473
1501	142	87	79	0	buba	30473
368	952	97	78	0	buba	30473
659	845	178	147	3	chest	30473
647	989	115	71	0	buba	30473
340	475	129	391	4	ladder	30597
600	815	175	152	3	chest	30597
222	32	137	364	4	ladder	30597
588	968	103	69	0	buba	30597
1421	119	95	87	0	buba	30597
313	960	86	83	0	buba	30597
263	447	134	410	4	ladder	30725
1333	145	94	87	0	buba	30725
515	943	100	78	0	buba	30725
527	801	171	150	3	chest	30725
149	26	134	355	4	ladder	30725
233	923	93	103	0	buba	30725
322	914	74	100	0	buba	30725
200	445	120	372	4	ladder	30874
446	934	98	77	0	buba	30874
460	790	156	152	3	chest	30874
78	37	126	320	4	ladder	30874
247	901	79	90	0	buba	30874
165	904	88	108	0	buba	30874
401	928	102	78	0	buba	30998
419	787	161	149	3	chest	30998
208	897	76	89	0	buba	30998
119	901	90	92	0	buba	30998
160	451	110	362	4	ladder	30998
43	25	125	345	4	ladder	30998
374	925	96	78	0	buba	31110
388	785	162	150	3	chest	31110
125	438	126	380	4	ladder	31110
83	898	93	98	0	buba	31110
178	891	74	92	0	buba	31110
357	923	97	79	0	buba	31233
104	438	125	385	4	ladder	31233
62	898	94	96	0	buba	31233
371	783	157	152	3	chest	31233
155	890	75	89	0	buba	31233
334	923	102	78	0	buba	31362
51	897	86	95	0	buba	31362
351	782	160	143	3	chest	31362
137	891	75	91	0	buba	31362
91	430	124	377	4	ladder	31362
76	434	125	394	4	ladder	31486
322	921	103	80	0	buba	31486
339	783	160	144	3	chest	31486
41	894	85	99	0	buba	31486
123	885	74	95	0	buba	31486
69	437	125	384	4	ladder	31612
315	920	98	83	0	buba	31612
332	782	160	148	3	chest	31612
118	884	77	96	0	buba	31612
38	895	81	99	0	buba	31612
62	435	132	386	4	ladder	31732
312	922	94	80	0	buba	31732
328	780	160	150	3	chest	31732
117	887	74	91	0	buba	31732
37	895	80	97	0	buba	31732
310	921	92	80	0	buba	31855
57	435	135	385	4	ladder	31855
323	779	162	150	3	chest	31855
20	893	88	99	0	buba	31855
116	883	73	95	0	buba	31855
307	922	92	79	0	buba	31995
52	437	135	381	4	ladder	31995
322	780	164	148	3	chest	31995
18	893	86	97	0	buba	31995
115	882	71	96	0	buba	31995
1547	34	144	45	0	buba	31995
306	922	92	76	0	buba	32116
51	436	136	382	4	ladder	32116
321	782	165	145	3	chest	32116
18	893	83	97	0	buba	32116
115	883	71	95	0	buba	32116
1547	34	144	45	0	buba	32116
305	922	92	76	0	buba	32244
320	782	164	143	3	chest	32244
52	423	136	391	4	ladder	32244
17	893	81	96	0	buba	32244
114	883	70	94	0	buba	32244
1546	34	145	45	0	buba	32244
306	922	91	76	0	buba	32363
319	783	164	143	3	chest	32363
